address,balance,lifetime,tx_in,tx_out,investment_in,payment_out,investment_to_contract/tx_in,payment_from_contract/tx_out,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth
0x79280ded572a0a7dfd31dfcc5baef3121ef0fee6,0.010000,734,12,7,6,7,0.5,1.0,1,1,1.000000,0.0,-0.010000,0.0,1.1667,1.0000,0.0027,4.0,0.0014,0.0,0,1,0
0x40b88bbd78cb0441259de7a7d608a39b7388369a,0.015000,1912,15,13,9,13,0.6,1.0,4,4,1.000000,1.732051,-0.003750,2.216335,1.4444,1.0000,0.0031,2.929733,0.0016,4.714045,0,1,0
0x26bad8baf94001cd778731f8fd84b6cb01859748,0.000000,588,226,1,1,1,0.0044,1.0,1,1,0.000000,1.0,0.000000,0.037175,1.0000,0.0000,0.0068,93.825636,0.0017,0.0,0,0,1
0x6492904953ed9015d6b37f8063b65c8de105d837,0.022000,0,6,6,5,6,0.8333,1.0,2,2,0.500000,0.5,-0.011000,0.011,1.2000,1.0000,1.0000,0.0,1.0000,0.0,0,1,0
0x85c84c949b1c29c85b777f2873a19450dbb1a057,1.220000,0,64,46,61,46,0.9531,1.0,14,10,-1.000000,2.0,-0.081333,1.96103,0.7541,0.6429,1.0000,0.0,1.0000,0.0,1,0,0
0xfe9c69945687539fabbf531133838d9cce522a76,2.528963,1614,111,67,103,67,0.9279,1.0,58,29,-0.610169,1.248958,-0.042864,2.348923,0.6505,0.4828,0.0229,4.165495,0.0105,6.439497,1,0,0
0xb336a86e2feb1e87a328fcb7dd4d04de3df254d0,0.000000,251,271,19,20,19,0.0738,1.0,16,13,-0.062500,0.555512,0.000000,45.709563,0.9500,0.8125,0.0159,103.579378,0.0120,3.858612,0,1,0
0xf1c1648f6f0edbcf7d898441b88e489cfaace11d,0.033600,53,5,2,3,2,0.6,1.0,2,1,-0.500000,0.5,-0.016800,0.0028,0.6667,0.5000,0.0566,0.942809,0.0377,0.0,0,1,0
0x143e8bd26d95b230680c25300f93ef56f86eccac,0.022500,1,4,2,2,2,0.5,1.0,1,1,0.000000,0.0,-0.022500,0.0,1.0000,1.0000,2.0000,1.0,1.0000,0.0,0,1,0
0x99925cc9a57f5e473ff22314cfe0627a0bfcceb4,0.000000,0,4,1,1,1,0.25,1.0,1,1,0.000000,0.0,0.000000,0.0,1.0000,1.0000,1.0000,0.0,1.0000,0.0,0,1,0
0xc99b3615724b7c4d3e4b348cfc8a25b9e2133828,0.000000,1,3,1,1,1,0.3333,1.0,1,1,0.000000,0.0,0.000000,0.0,1.0000,1.0000,2.0000,0.5,1.0000,0.0,0,1,0
0x26c4e381ffbdc825be9b986c3ba40525f0771e8d,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x75aa81161e07483f6ca199fef46c13eb13d190be,0.000120,461,63,58,45,58,0.7143,1.0,9,10,1.300000,2.45153,-0.000012,0.391829,1.2889,1.0000,0.0239,7.046481,0.0239,6.796937,0,1,0
0xda922e473796bc372d4a2cb95395ed17af8b309b,0.100000,14,6,2,3,2,0.5,1.0,3,1,-0.333333,0.942809,-0.033333,0.02357,0.6667,0.3333,0.3571,0.4,0.1429,0.0,0,0,1
0x6846b938f9be9f1eeeb9bfd853636c805f8f54d3,0.000000,1,4,1,1,1,0.25,1.0,1,1,0.000000,0.0,0.000000,0.0,1.0000,1.0000,2.0000,0.0,1.0000,0.0,0,0,1
0xf77ac34cd0ed42f2b5d8cfcf4fa0f4bb1b80b9d8,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x8e66ffe69b3f8d78f2a696e40c02f7454c0a01d9,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xc58492b3b14f658adff566c988029308505f81b5,0.005000,4,11,9,10,9,0.9091,1.0,10,9,-0.100000,0.3,-0.000500,0.934779,0.9000,0.9000,1.0000,1.920286,0.7500,2.160247,0,1,0
0xd361e374be9e3907fceac60c6ea5cbdce89fc9ae,5.000000,852,10,3,2,3,0.2,1.0,2,1,0.500000,1.5,-2.500000,2.5,1.5000,0.5000,0.0059,1.095445,0.0023,0.5,0,1,0
0xe8b55deaced913c5c6890331d2926ea0fcbe59ac,0.046000,3,34,23,23,23,0.6765,1.0,4,4,0.000000,6.542171,-0.009200,0.074518,1.0000,0.7500,1.3333,11.842719,0.6667,10.5,1,0,0
0x9758da9b4d001ed2d0df46d25069edf53750767a,0.000000,27,111,382,110,382,0.991,1.0,103,41,2.615385,11.226949,0.000000,3.327923,3.4727,0.3883,0.4815,17.153674,0.4444,61.463856,1,0,0
0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,0.000000,352,106,7,2,7,0.0189,1.0,2,6,0.625000,0.992157,0.000000,0.651583,3.5000,0.0000,0.0085,48.554666,0.0057,2.5,1,0,0
0x109c4f2ccc82c4d77bde15f306707320294aea3f,9.000000,807,94,407,89,407,0.9468,1.0,53,33,6.000000,11.251834,-0.169811,21.627533,4.5730,0.6226,0.0149,17.667453,0.0037,133.517373,0,1,0
0x4865e85c72a27ca6c362da75ba6707c07464b953,0.166941,1903,74,1197,72,1197,0.973,1.0,16,10,70.312500,144.603215,-0.010432,5.301322,16.6250,0.6250,0.0042,13.35805,0.0037,256.191335,0,1,0
0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,2.545508,857,356,197,130,197,0.3652,1.0,40,37,1.675000,11.760926,-0.063638,50.42373,1.5154,0.9250,0.0163,57.91461,0.0117,40.748129,0,1,0
0x4fb663c1616bfe80b5b6d5a214efa81d5a121801,1.464461,746,79,535,33,535,0.4177,1.0,28,20,17.310345,15.369256,-0.050498,1.580976,16.2121,0.6786,0.0563,1.576651,0.0322,12.310156,0,1,0
0x1ce7986760ade2bf0f322f5ef39ce0de3bd0c82b,1.632260,1410,67,27,32,27,0.4776,1.0,28,16,-0.178571,0.927884,-0.058295,2.634952,0.8438,0.5714,0.0220,3.361036,0.0156,0.516264,0,1,0
0xeb4245c88c660ae4ee23c76954e5490ccd7bbd82,0.000000,77,10,4,2,3,0.2,0.75,2,3,0.200000,0.979796,0.000000,0.008573,1.5000,0.0000,0.0519,2.598076,0.0260,1.0,0,0,1
0xd92d62ce8504e5c61aa17d9a9b13c65dbd77c268,0.000000,6,16,2,3,2,0.1875,1.0,2,2,-0.333333,0.942809,0.000000,0.016103,0.6667,0.5000,0.8333,2.4,0.3333,0.0,0,0,1
0xc352add7ad8cac8baa839d8c88e7e9d7df9a219b,0.054200,8,144,143,143,143,0.9931,1.0,8,8,0.000000,33.582403,-0.006022,0.043694,1.0000,0.8750,1.0000,8.803408,1.0000,8.752678,1,0,0
0x3f4dd010fbbc9a9b6d95f1f53837d7e9f3befac8,0.110000,2,11,0,3,0,0.2727,0.0,3,0,-1.000000,0.0,-0.036667,0.009428,0.0000,0.0000,1.5000,3.771236,0.0000,0.0,0,0,1
0xf9533353c20495527e0499ac71e1507b418b9314,0.000000,1,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.0,0.0000,0.0,0,0,1
0x879716da78A75a44bdfa8F038ce875f99586940a,0.000000,2,31,11,7,11,0.2258,1.0,7,11,0.222222,0.974996,-0.000000,10.996343,1.5714,0.0000,1.5000,3.771236,0.5000,0.0,1,0,0
0x6203188c0dd1a4607614dbc8af409e91ed46def0,0.000000,17,213,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0588,8.789198,0.0000,0.0,0,0,1
0x4e1833a4a67ed1c8cb0ffc541ab7291c02d2fd06,0.000000,66,6,1,1,1,0.1667,1.0,1,1,0.000000,1.0,0.000000,0.03,1.0000,0.0000,0.0758,0.4,0.0152,0.0,0,0,1
0xc27590378690620a44b1382e7cf31db5a1f9b99e,0.009900,0,4,3,2,3,0.5,1.0,1,2,0.500000,1.5,-0.004950,0.00506,1.5000,1.0000,1.0000,0.0,1.0000,0.0,0,1,0
0x80c1a36dcbdca742f59f09fda16c43e6ad877c2b,0.002000,5,3,0,1,0,0.3333,0.0,1,0,-1.000000,0.0,-0.002000,0.0,0.0000,0.0000,0.6000,0.0,0.0000,0.0,0,0,1
0x53344c813fbc35890a7304187dc920358b5acf4a,0.000000,6,12,1,5,1,0.4167,1.0,4,1,-0.800000,0.979796,0.000000,0.051657,0.2000,0.0000,0.6667,1.581139,0.1667,0.0,0,0,1
0xbef44157a4afbfcce76db29353b6c103a03ed803,0.000000,1,6,1,1,1,0.1667,1.0,1,1,0.000000,1.0,0.000000,0.01,1.0000,0.0000,2.0000,2.0,1.0000,0.0,1,0,0
0x2c8eab1b7c57a6f9f81f761b26b71f99b25ff59c,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xbd1e1ea13de6f320e89f33a7076b29d1a00506d8,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xfc4f1acaaed191715cd50b9bc5311f7ad076424e,0.000000,0,2,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x5d41106d9088f968f6fdc376bec83451420c356f,0.000000,0,1,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xec34d45fde0836d50ac8438f8442002b588435c0,0.000000,1,3,1,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,1.0000,0.0,0,0,1
0x75f97d98eb49989f9af40c49a7a1eb32767214f5,0.000000,121,4,0,0,0,0.0,0.0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,0.0248,0.471405,0.0000,0.0,0,0,1
