,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0x615D2c5155eA9841f2a926c3A4953d140D407C99,0.0,49,16,7,9,7,0.5625,1.0,7,5,-0.25,0.661438,0.0,0.019204,0.7778,0.5714,0.0612,5.436502,0.0408,0.5,1.0,1,0,0
1,0x324e5e2335b8e8bdb11ec9ab7db176d7e2a875e1,0.127671,512,38,12,19,12,0.5,1.0,17,10,-0.411765,0.771463,-0.00751,0.105665,0.6316,0.5882,0.0117,6.472163,0.0098,1.496663,1.0,0,1,0
2,0xc48ff50311a4c019bfe5f7f552eed87af70172b9,0.0,1,13,1,3,1,0.2308,1.0,3,1,-0.666667,0.471405,0.0,0.065854,0.3333,0.3333,2.0,2.5,1.0,0.0,1.0,0,1,0
3,0xdd8a7295d2ea1a9d492631b8e8e3d36ec83123db,0.10006,0,7,0,1,0,0.1429,0.0,1,0,-1.0,0.0,-0.10006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
4,0xccf13891822bf2de0cacd300d2ce6f27abce8abe,0.0,0,5,3,2,3,0.4,1.0,1,1,1.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0
5,0x60f0ee673e413e1c134d1497eeecce8ddd2fdd74,0.1,1,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,1
6,0x393de12bd7ae3045068ee9fdbb24a0e61c84b618,0.0,4,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
7,0x28297291aebef85bed1b15b9d5fca3146c6ebb3f,0.0,0,4,2,2,1,0.5,0.5,2,1,-0.333333,0.942809,0.0,1.62489,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1
8,0x33A8eA1c8C6294C9F65f3DAd7CA7f037BD09F951,0.188046,198,561,5,4,5,0.0071,1.0,3,3,0.333333,1.247219,-0.062682,0.549554,1.25,1.0,0.0202,240.033722,0.0101,0.5,1.0,0,1,0
9,0x50f7da5ecd7838b1f5a4813cdfb59d7d502dce44,0.235,0,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.235,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10,0xa7c5fe3fbb37a86705049796faddccfd4bd5ff3f,0.6,1,2,0,1,0,0.5,0.0,1,0,-1.0,0.0,-0.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,1
11,0x29b0de42b6495d48ec80126eb78591a756aac001,0.0,0,7,4,4,4,0.5714,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1
12,0x3c563651318b6b2cf555207a1e611bb577fff446,0.0,10,5,1,3,1,0.6,1.0,2,1,-1.0,0.0,0.0,0.1,0.3333,0.5,0.3,0.942809,0.1,0.0,1.0,0,1,0
13,0x1F36f2249eC89266Ad4EE4351538148aaEBc72e8,0.0,130,254,4,4,4,0.0157,1.0,3,4,0.0,0.707107,0.0,0.010607,1.0,1.0,0.0385,98.102803,0.0231,0.471405,1.0,1,0,0
14,0x475de1f3e1ba5aeefc9fc694852c8fce59b353a1,0.030079,274,13,2,10,2,0.7692,1.0,3,2,-1.6,3.32265,-0.006016,0.008214,0.2,0.0,0.0219,2.192158,0.0036,0.0,1.0,0,0,1
15,0x41de5b7cf63c8d028daa2626d9aeaf02cad8c6c3,0.002491,158,14,9,7,9,0.5,1.0,5,2,0.4,2.8,-0.000498,0.226134,1.2857,0.4,0.038,2.560382,0.0253,1.63936,0.5,0,0,1
16,0x68ed5f7482307dcd325cd92d48b52b0a2e2a7069,0.0,1,8,1,1,1,0.125,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0,1,0
17,0x5ae14c0101e0a40c709340592f1f1c052ef4ab92,0.0,0,4,1,2,1,0.5,1.0,1,1,-1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1
18,0xe93484edd61d0d6c85bbda6c030ef98dcaead9e4,0.0,50,3,1,1,1,0.3333,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.06,0.0,0.02,0.0,1.0,0,0,1
19,0x5473311d1b728e6c66b71923e8efbd491ca5d435,0.0,95,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211,0.0,0.0,0.0,0.0,0,0,1
20,0xba2403b8ec4f310017a887421c0227a529b04ad5,0.41,0,4,0,3,0,0.75,0.0,2,0,-1.5,0.5,-0.205,0.195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
21,0xc1caec30b787711108957660a3f9306a5d967f66,0.0,1335,6,2,1,2,0.1667,1.0,1,1,0.5,1.5,0.0,10.0,2.0,0.0,0.0037,0.4,0.0015,0.0,1.0,0,0,1
22,0x1fb7d441bede6a35e15150bfce3e361f4f736f70,0.0,3,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0,0,1
23,0x861ab771d6787ac7eecc2d33b6fed63a06ae7d1c,0.439766,96,142,43,62,43,0.4366,1.0,25,21,-0.76,2.404662,-0.017591,1.153803,0.6935,0.84,0.125,15.208733,0.1146,3.527929,1.0,0,1,0
24,0xcc9724b345887827cb5eae025cad9f4ccc3c90f6,0.0,76,214,2,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263,106.0,0.0263,0.0,0.0,0,0,1
25,0x8402f958b250128711921a46a5d21a932d2eb386,0.0,0,4,1,3,1,0.75,1.0,1,1,-2.0,0.0,0.0,0.0,0.3333,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0
26,0xa9A8108994bB704261567E53b49607A73876Ddf1,0.0,0,4,2,1,2,0.25,1.0,1,2,0.333333,0.942809,0.0,0.149666,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1
27,0x3AA5FA4FBF18d19548680a5f2BbA061b18Fed26b,34854.380471,15,8996,9998,8992,9998,0.9996,1.0,7522,8329,0.120783,0.370365,-4.184702,40.247475,1.1119,1.0,0.9333,497.239913,1.0667,467.329498,0.9031,0,1,0
28,0x88af078337afde014574dbc6027a1db75d629b76,0.0019,0,5,2,3,2,0.6,1.0,2,1,-0.5,0.5,-0.00095,0.04905,0.6667,0.5,1.0,0.0,1.0,0.0,1.0,0,0,1
29,0x921ade9018eec4a01e41e80a7eeba982b61724ec,0.0,752,387,175,117,175,0.3023,1.0,24,24,1.705882,10.642671,0.0,0.25006,1.4957,0.5833,0.0904,6.750288,0.0612,4.019623,0.9167,1,0,0
30,0xc8cc5c8db49d3a556bf64a5c4b3ae9ff862ac6af,0.102476,88,368,89,159,89,0.4321,1.0,70,57,-0.985915,3.069583,-0.001443,0.149206,0.5597,0.8,0.375,22.573947,0.2955,4.456396,1.0,1,0,0
31,0x12f8c63034aac487396b70db04aba5c84ded1886,0.0,8,10,6,4,6,0.4,1.0,2,2,0.666667,3.091206,0.0,1.197392,1.5,0.5,0.625,0.894427,0.625,0.4,0.5,0,0,1
32,0x33ef51485255f8e6fc91654dd237cd96bf115bbd,0.0,293,87,23,56,23,0.6437,1.0,2,2,-16.5,13.5,0.0,3.9874,0.4107,1.0,0.0546,4.300709,0.0444,1.049091,1.0,0,1,0
33,0x9A3dA065e1100a5613dc15b594f0F6193B419E96,0.0,0,4,5,2,4,0.5,0.8,2,2,1.0,1.0,0.0,0.04,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0
34,0xF7A1a5eeD7DaB1a7bCdA127B43DfAa1FF1800888,0.0,2,5,1,3,1,0.6,1.0,2,1,-1.0,0.0,0.0,0.04,0.3333,0.5,1.5,0.471405,0.5,0.0,1.0,0,1,0
35,0xeda2b1cc85743ad07d6eb8e5a22cdbe142c10e6d,0.021811,0,5,1,2,1,0.4,1.0,1,1,-0.5,1.5,-0.010906,0.019095,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0,0,1
