,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0x2ef76694fbfd691141d83f921a5ba710525de9b0,0.01,11,753,13,750,13,0.996,1.0,22,10,-32.043478,17.501499,-0.000435,0.996094,0.0173,0.4091,1.0909,24.505527,1.0,0.385695,1.0,1,0,0
1,0x2b6efb0b9ef5919add11a3fe4cd454091475458f,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
2,0x10d4b24938f6de7ae4048c7273f09c50d5caf4d9,0.0,1683,186,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523,2.897616,0.0,0.0,0.0,0,0,1
3,0x46648f595ecc35fabd19df3a91058a5d57bdd40a,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
4,0x8dbfccf2cbdc40811e0485f0450dba0b5fd02de8,0.0,171,35,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117,16.5,0.0,0.0,0.0,0,0,1
5,0x7cbfbe8b4872b2932446b90b7e3e03f6ae6e32da,0.12375,1155,153,2,25,2,0.1634,1.0,15,1,-1.533333,0.805536,-0.00825,0.072187,0.08,0.0667,0.032,7.219202,0.0017,0.0,1.0,0,1,0
6,0x897bbdb5f38f6dd830a19fcd46978658667dde62,1.5464,252,530,101,140,101,0.2642,1.0,36,24,-0.886364,4.063227,-0.035145,1.319084,0.7214,0.4444,0.2778,7.972401,0.1548,2.647863,1.0,0,1,0
7,0x3f3186172e5c140403c235bbfc9f106c0dd26b47,0.0,10,3,0,2,0,0.6667,0.0,1,0,-2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0,0,1
8,0x78eb00ec1c005fec86a074060cc1bc7513b1ee88,0.561164,803,825,404,419,404,0.5079,1.0,75,47,-0.194805,7.15331,-0.007288,0.233257,0.9642,0.6,0.2167,7.14439,0.1756,3.774156,1.0,0,0,1
9,0x9b2b545691caffb8a16ba848f265f04f34e16748,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10,0xbb4f286f88881afff196f8170105ad91b6217e0b,14.713735,58,54,62,31,62,0.5741,1.0,26,2,1.107143,8.308082,-0.525491,1.025482,2.0,0.0,0.1724,5.713143,0.1207,8.542809,0.0,0,0,1
11,0x18505155a3ac174a9f3148a12b1d8fa18d2db113,0.0,208,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.5,0.0,0.0,0.0,0,0,1
12,0x2efaf60bbd75b9430a8446bd58d12fbc3f5dbb71,0.04,1255,7,0,4,0,0.5714,0.0,2,0,-2.0,1.0,-0.02,0.01,0.0,0.0,0.0032,0.829156,0.0,0.0,0.0,0,0,1
13,0x307341e337f9769c6892b98f73e8db7b7dab4178,0.0,0,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
