address,balance,lifetime,#investment_to_contract,#payment_from_contract,#addresses_paying_contract,#addresses_paid_by_contract,mean_v1,sdev_v1,mean_v2,sdev_v2,paid_rate,paid_one,percentage_some_tx_in,sdev_tx_in,percentage_some_tx_out,sdev_tx_out,owner_gets_eth_Wo_investing,owner_gets_eth_investing,owner_no_eth
0x18d70bd7bdfa7e424271fe25b527ee0250db5c90,0.000000,2,1,2,1,1,0.500000,1.5,0.000000,2.0,2.0000,0.0000,1.5000,9.899495,0.5000,0.0,0,0,1
0x716525973aa2f59a6bb80b001f089da754b2c3be,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x8b7b6c61238088593bf75eec8fbf58d0a615d30c,0.050000,3,2774,2773,2433,1,-0.000411,56.220393,-0.000021,1334.202352,0.9996,0.0000,2.3333,627.267251,1.3333,693.58507,0,0,1
0xf93843fc86afcaa8479a13ad77fd6e6eec79a903,0.000000,1167,53,44,29,6,-0.310345,5.038496,0.000000,199.713515,0.8302,0.2069,0.0480,1.994812,0.0257,1.024153,0,0,1
0x0d6f4cef46f23877a930c2d782cc275c978bc1ee,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xf7bd2f34d3be33b09b8e0e05ae0a1773b2a56cdf,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x12e4303bc6ad8ddb4e3edb3d632f3533261878e0,0.000000,1,9,9,6,1,0.000000,3.651484,0.000000,1.183519,1.0000,0.1667,2.0000,2.5,2.0000,3.0,0,1,0
0x79a6e552b1bf27fff02f383ae795bd35dd2f3f8c,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x945D5BAf5Ab3E8901B7dd6f9fF273A9024cbE0A0,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0xf99f901124cbbe180984a247ba94cfba0c764b2e,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,3.0000,3.299832,0.0000,0.0,0,0,1
0x45be456a56f6d82175ce7f921954d2451db73161,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.5,0.0000,0.0,0,0,1
0x766706a29923217bad5be36dcc2ba284d157b634,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,4.0000,11.07926,0.0000,0.0,0,0,1
0xbfd4a3c26996dfc9e85a951eb615aac3b84c758b,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,57.0000,5.202871,0.0000,0.0,0,0,1
0x749dab228c71e650addba8c9875b842ad460a3c2,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,5.0000,216.570173,0.0000,0.0,0,0,1
0xd3bF635748F1D0A1063f1120950d4114DA382662,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,7.0000,0.699854,0.0000,0.0,0,0,1
0xb2f7eb1f2c37645be61d73953035360e768d81e6,-5275.531179,48,7528,9054,5906,1,0.258338,117.815136,0.893098,378.632912,1.2027,0.0000,0.7500,191.106595,0.8333,167.088083,0,0,1
0xa7ff20154ffeae7578f3bae615aaf094d39d71cc,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,1.0,0.0000,0.0,0,0,1
0x88af078337afde014574dbc6027a1db75d629b76,0.001900,0,3,2,2,1,-0.500000,0.5,-0.000950,0.04905,0.6667,0.5000,1.0000,0.0,1.0000,0.0,0,0,1
0x4e29e281ed7bac9c4a3b93f5a2b1b8920916b17e,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0xf8fa1a588cd8cd51c3c4d6dc16d2717f6332e821,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,9.0000,0.496904,0.0000,0.0,0,0,1
0x0b5f57467db959b959410f83e3810fcfaa592f5b,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,2.0000,0.0,0.0000,0.0,0,0,1
0xb2f6ebe8e606e7b18c78b19a3c5969618fa599da,0.020710,179,1970,1969,1670,1,-0.000598,48.18549,-0.000012,211.017136,0.9995,0.0000,0.0670,402.164862,0.0503,451.459471,1,0,0
0xfec0cf7fe078a500abf15f1284958f22049c2c7e,0.070000,0,1,0,1,0,-1.000000,0.0,-0.070000,0.0,0.0000,0.0000,1092.0000,15.17695,0.0000,0.0,0,0,1
0x9B60874D7bc4e4fBDd142e0F5a12002e4F7715a6,101794.436513,0,2098,0,1675,0,-1.252537,0.993765,-60.772798,1288.990227,0.0000,0.0000,39.0000,81.736898,0.0000,0.0,0,0,1
0x336f646f87d9f6bc6ed42dd46e8b3fd9dbd15c22,0.101000,0,2,0,2,0,-1.000000,0.0,-0.050500,0.0495,0.0000,0.0000,472.0000,46.306893,0.0000,0.0,0,0,1
0x1525938BDD537de47dE94a6198eEBfA72F66908f,0,0,0,0,0,0,0.000000,0.0,0.000000,0.0,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
0x5745b21F6365b379451F2f327274812D7A5D3d0D,1.606000,0,31,0,6,0,-5.166667,2.266912,-0.267667,0.253198,0.0000,0.0000,2.0000,1.0,0.0000,0.0,0,0,1
0xB71Cd8f21D5C21edcd113CA2807189ddcAf9DD44,0.202000,0,3,0,3,0,-1.000000,0.0,-0.067333,0.046907,0.0000,0.0000,1.0000,0.0,0.0000,0.0,0,0,1
